2019-40,2019-41,2019-42,2019-43,2019-44,2019-45,2019-46,2019-47,2019-48,2019-49,2019-50,2019-51,2019-52,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09
Abominable,The Addams Family,Joker,Maleficent: Mistress of Evil,Joker,Doctor Sleep,Midway,Ford v Ferrari,Knives Out,Knives Out,Frozen II,Jumanji: The Next Level,Jumanji: The Next Level,Jumanji: The Next Level,Star Wars: Episode IX - The Rise of Skywalker,1917,1917,1917,Bad Boys for Life,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,Sonic the Hedgehog,Sonic the Hedgehog
Downton Abbey,Gemini Man,Zombieland: Double Tap,Zombieland: Double Tap,Maleficent: Mistress of Evil,Playing with Fire,Charlie's Angels,A Beautiful Day in the Neighborhood,Ford v Ferrari,Ford v Ferrari,Knives Out,Frozen II,Little Women,Little Women,Jumanji: The Next Level,Dolittle,Dolittle,Dolittle,1917,Fantasy Island,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,The Call of the Wild
Hustlers,Abominable,The Addams Family,The Addams Family,Harriet,Last Christmas,Playing with Fire,Knives Out,Queen & Slim,Queen & Slim,Richard Jewell,Knives Out,Frozen II,Frozen II,Just Mercy,Jumanji: The Next Level,The Gentlemen,The Gentlemen,Dolittle,Bad Boys for Life,Bad Boys for Life,My Hero Academia: Heroes Rising
Judy,Downton Abbey,Gemini Man,Countdown,The Addams Family,Terminator: Dark Fate,Last Christmas,21 Bridges,A Beautiful Day in the Neighborhood,A Beautiful Day in the Neighborhood,Ford v Ferrari,Cats,Spies in Disguise,The Grudge,Like a Boss,Star Wars: Episode IX - The Rise of Skywalker,Jumanji: The Next Level,Gretel & Hansel,Jumanji: The Next Level,The Photograph,Brahms: The Boy II,Bad Boys for Life
It Chapter Two,Hustlers,Downton Abbey,Black and Blue,Zombieland: Double Tap,Joker,The Good Liar,Playing with Fire,21 Bridges,Dark Waters,Black Christmas,Little Women,Knives Out,Spies in Disguise,Little Women,Little Women,The Turning,Jumanji: The Next Level,The Gentlemen,1917,Fantasy Island,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn
Ad Astra,Judy,Abominable,Gemini Man,Countdown,Maleficent: Mistress of Evil,Doctor Sleep,Midway,Midway,21 Bridges,A Beautiful Day in the Neighborhood,Uncut Gems,Uncut Gems,Knives Out,Underwater,Just Mercy,Star Wars: Episode IX - The Rise of Skywalker,Little Women,Gretel & Hansel,Parasite,1917,Impractical Jokers: The Movie
Rambo: Last Blood,Jexi,Judy,The Lighthouse,Black and Blue,Harriet,Joker,The Good Liar,Playing with Fire,Midway,Queen & Slim,Bombshell,Bombshell,Uncut Gems,Knives Out,Knives Out,Little Women,Star Wars: Episode IX - The Rise of Skywalker,Parasite,Jumanji: The Next Level,Parasite,1917
War,It Chapter Two,Hustlers,The Current War: Director's Cut,Motherless Brooklyn,Zombieland: Double Tap,Harriet,Last Christmas,Last Christmas,Playing with Fire,Dark Waters,Spies in Disguise,Cats,Bombshell,Frozen II,Frozen II,Just Mercy,The Turning,Little Women,Dolittle,The Photograph,Brahms: The Boy II
Good Boys,Ad Astra,It Chapter Two,Downton Abbey,Parasite,The Addams Family,Maleficent: Mistress of Evil,Charlie's Angels,Joker,Last Christmas,21 Bridges,Richard Jewell,Richard Jewell,Cats,Spies in Disguise,Like a Boss,Knives Out,The Rhythm Section,Star Wars: Episode IX - The Rise of Skywalker,Downhill,Jumanji: The Next Level,Fantasy Island
My People, My Country,Rambo: Last Blood,Jexi,Parasite,Arctic Dogs,Jojo Rabbit,Terminator: Dark Fate,Joker,Harriet,Joker,Midway,Ford v Ferrari,Ford v Ferrari,Richard Jewell,Uncut Gems,Underwater,Frozen II,Knives Out,Knives Out,The Gentlemen,My Hero Academia: Heroes Rising
